id,family,source,hand_found,hand_nodes,hand_time_ms,learned_found,learned_nodes,learned_time_ms
hard_motif_R1_003,R1,hard,True,9,3470.9709999988263,True,5,7343.191700001626
hard_motif_R2_003,R2,hard,True,9,5319.747300000017,True,4,6956.817300000694
hard_motif_v1_ex1_004,v1_ex1,hard,True,1365,257054.14499999824,True,36,51767.5221999998
hard_motif_L1_004,L1,hard,True,1649,440471.55569999816,True,4,3914.0734000029624
hard_motif_L3_004,L3,hard,True,10,4498.266099999455,True,4,5151.478100000531
hard_motif_P3_004,P3,hard,True,38,19524.735700000747,True,2,2583.863999996538
hard_motif_P4_004,P4,hard,True,520,960464.219399997,True,23,58938.4859999991
hard_motif_R1_004,R1,hard,True,9,2866.6427999996813,True,6,5166.5275000013935
hard_motif_R2_004,R2,hard,True,9,3161.955900002795,True,8,10971.312499998021
hard_motif_v1_ex1_005,v1_ex1,hard,True,175,86231.32899999837,True,36,61184.80649999765
hard_motif_L1_005,L1,hard,True,16,5117.244299999584,True,4,3072.572400000354
hard_motif_L3_005,L3,hard,True,1211,278279.6970999989,True,4,4290.849799999705
