id,family,source,hand_found,hand_nodes,hand_time_ms,learned_found,learned_nodes,learned_time_ms
hard_motif_R2_001,R2,hard,True,2094,563599.757400003,True,3,4829.663700002129
hard_motif_v1_ex1_002,v1_ex1,hard,True,262,152332.64209999834,True,36,61716.85339999749
hard_motif_L1_002,L1,hard,True,679,168508.1233000019,True,3,2166.92250000051
hard_motif_L3_002,L3,hard,True,9,3099.801699998352,True,4,4701.362899999367
hard_motif_P3_002,P3,hard,True,17,6318.803499998467,True,2,2478.4862999986217
hard_motif_P4_002,P4,hard,True,530,947780.3749000013,True,25,87985.71699999957
hard_motif_R1_002,R1,hard,True,9,3255.826900000102,True,3,2512.424699998519
hard_motif_R2_002,R2,hard,True,9,3338.5438000004797,True,7,9159.440799998265
hard_motif_v1_ex1_003,v1_ex1,hard,True,173,87520.56630000152,True,36,43137.03230000101
hard_motif_L1_003,L1,hard,True,12,3003.5021000003326,True,4,2713.4163999980956
hard_motif_L3_003,L3,hard,True,21,5583.710599999904,True,4,4396.258000000671
hard_motif_P3_003,P3,hard,True,45,24487.130499997875,True,2,2355.0950000026205
hard_motif_P4_003,P4,hard,True,102,179480.39719999724,True,20,67801.3729000013
