id,family,source,hand_found,hand_nodes,hand_time_ms,learned_found,learned_nodes,learned_time_ms
hard_motif_v1_ex1_000,v1_ex1,hard,True,76,52257.8276000022,True,36,53766.08050000141
hard_motif_L1_000,L1,hard,True,16,5131.68880000012,True,4,3095.398199999181
hard_motif_L3_000,L3,hard,True,914,228502.63949999862,True,4,6066.979700000957
hard_motif_P3_000,P3,hard,True,886,453227.0523000007,True,2,3075.025900001492
hard_motif_P4_000,P4,hard,True,257,455220.2921999997,True,20,69459.97910000006
hard_motif_R1_000,R1,hard,True,9,2525.6197999988217,True,3,2366.009999997914
hard_motif_R2_000,R2,hard,True,9,2839.9909999970987,True,4,4292.868100001215
hard_motif_v1_ex1_001,v1_ex1,hard,True,163,81464.17030000157,True,36,45909.549300002254
hard_motif_L1_001,L1,hard,True,10,3209.178500001144,True,5,3954.7560999999405
hard_motif_L3_001,L3,hard,True,9,3264.991399999417,True,5,6173.511799999687
hard_motif_P3_001,P3,hard,True,26,13441.94029999926,True,2,2597.3489999996673
hard_motif_P4_001,P4,hard,True,258,446738.49619999964,True,23,82963.48980000039
hard_motif_R1_001,R1,hard,True,17,5060.239800001,True,7,6226.952599998185
